datetime,tot_orders,tot_gross_revenue,tot_cogs,tot_order_marketplace,tot_order_website,tot_order_b2b,temperature_2m,relative_humidity_2m,precipitation,rain,snowfall,weather_code,weather_description,cloud_cover,sunshine_duration,is_weekend,day_of_week,tot_sessions,product_margin,AOV,cvr,revenue_per_session,lag_weekday_tot_orders,lag_weekday_tot_gross_revenue,lag_weekday_AOV,lag_weekday_cvr,lag_weekday_revenue_per_session,lag_1_tot_orders,lag_1_tot_gross_revenue,lag_1_AOV,lag_1_cvr,lag_1_revenue_per_session,lag_24_tot_orders,lag_24_tot_gross_revenue,lag_24_AOV,lag_24_cvr,lag_24_revenue_per_session,lag_168_tot_orders,lag_168_tot_gross_revenue,lag_168_AOV,lag_168_cvr,lag_168_revenue_per_session,lag_720_tot_orders,lag_720_tot_gross_revenue,lag_720_AOV,lag_720_cvr,lag_720_revenue_per_session
2023-01-03 04:00:00+00:00,0,0.0,0.0,0,0,0,,,,,,,,,,True,,134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 05:00:00+00:00,0,0.0,0.0,0,0,0,,,,,,,,,,True,,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 06:00:00+00:00,0,0.0,0.0,0,0,0,,,,,,,,,,True,,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 07:00:00+00:00,1,63.18,15.32,0,1,0,5.698,99.65436,0.2,0.2,0.0,51.0,light_drizzle,100.0,0.0,False,Tuesday,83,62.93751820196265,63.18,0.012048192771084338,0.7612048192771085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1993.8500000000001,664.6166666666667,0.030612244897959183,20.345408163265308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 08:00:00+00:00,1,125.23,32.44,0,1,0,5.498,98.27957,0.5,0.5,0.0,53.0,drizzle,100.0,0.0,False,Tuesday,134,124.9709566397828,125.23,0.007462686567164179,0.9345522388059702,0.0,0.0,0.0,0.0,0.0,1.0,63.18,63.18,0.012048192771084338,0.7612048192771085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 09:00:00+00:00,2,124.83,39.44,0,2,0,5.248,98.96251,0.4,0.4,0.0,51.0,light_drizzle,100.0,0.0,False,Tuesday,76,124.51405030841944,62.415,0.02631578947368421,1.6425,0.0,0.0,0.0,0.0,0.0,1.0,125.23,125.23,0.007462686567164179,0.9345522388059702,1.0,322.02,322.02,0.013888888888888888,4.4725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 10:00:00+00:00,1,27.72,7.28,0,1,0,5.198,98.61824,0.5,0.5,0.0,53.0,drizzle,100.0,0.0,False,Tuesday,62,27.457373737373736,27.72,0.016129032258064516,0.4470967741935484,0.0,0.0,0.0,0.0,0.0,2.0,124.83,62.415,0.02631578947368421,1.6425,1.0,9.13,9.13,0.007936507936507936,0.07246031746031746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 11:00:00+00:00,1,377.74,129.04,0,1,0,5.298,96.917244,0.7,0.7,0.0,53.0,drizzle,100.0,0.0,False,Tuesday,159,377.3983893683486,377.74,0.006289308176100629,2.3757232704402518,0.0,0.0,0.0,0.0,0.0,1.0,27.72,27.72,0.016129032258064516,0.4470967741935484,1.0,41.9,41.9,0.006622516556291391,0.2774834437086093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 12:00:00+00:00,2,1457.1000000000001,274.94,0,2,0,5.3980002,92.61847,0.9,0.9,0.0,53.0,drizzle,100.0,0.0,False,Tuesday,133,1456.9113101365729,728.5500000000001,0.015037593984962405,10.955639097744362,0.0,0.0,0.0,0.0,0.0,1.0,377.74,377.74,0.006289308176100629,2.3757232704402518,2.0,74.62,37.31,0.013071895424836602,0.48771241830065365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 13:00:00+00:00,0,0.0,0.0,0,0,0,,,,,,,,,,True,,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1457.1000000000001,728.5500000000001,0.015037593984962405,10.955639097744362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
