customer_id,recency,frequency,monetary,recency_score,frequency_score,monetary_score,RFM_Score,RFM_Segment
10326,32,1.5,678.6,5,5,5,555,Champions
10327,52,1.0,15.0,4,3,1,431,Potential Loyalist
10330,87,1.0,139.9,3,3,4,334,Others
10333,342,1.0,52.7,1,3,3,133,At Risk
10335,43,1.0,23.0,4,3,1,431,Potential Loyalist
10336,192,1.0,75.32,2,3,3,233,At Risk
10338,7,1.0,48.519999999999996,5,3,2,532,Potential Loyalist
10339,152,1.0,50.0,3,3,2,332,Frequent Low Spenders
10340,94,1.0,10.43,3,3,1,331,Frequent Low Spenders
10346,139,1.0,18.77,3,3,1,331,Frequent Low Spenders
10347,192,1.0,14.02,2,3,1,231,At Risk
10348,106,1.0,845.16,3,3,5,335,Others
10349,128,1.0,64.01,3,3,3,333,Others
10350,81,1.0,14.9,4,3,1,431,Potential Loyalist
10351,57,1.0,81.03,4,3,3,433,Loyal Customers
10353,141,1.0,34.87,3,3,2,332,Frequent Low Spenders
10354,124,1.0,53.72,3,3,3,333,Others
10358,39,1.0,65.65,4,3,3,433,Loyal Customers
10359,4,1.0,98.91000000000001,5,3,4,534,Loyal Customers
10360,231,1.0,29.1,2,3,2,232,At Risk
10364,209,1.0,68.44,2,3,3,233,At Risk
10366,196,1.0,15.0,2,3,1,231,At Risk
10369,93,1.0,75.0,3,3,3,333,Others
10370,7,1.0,130.54,5,3,4,534,Loyal Customers
10371,117,1.0,11.33,3,3,1,331,Frequent Low Spenders
10372,114,1.0,161.95,3,3,4,334,Others
10374,33,1.0,79.63,5,3,3,533,Loyal Customers
10375,61,1.0,46.33,4,3,2,432,Potential Loyalist
10377,93,2.0,323.72,3,5,5,355,Others
10379,115,1.0,20.0,3,3,1,331,Frequent Low Spenders
10380,70,1.0,15.0,4,3,1,431,Potential Loyalist
10381,133,2.0,210.88,3,5,5,355,Others
10382,32,1.0,80.0,5,3,3,533,Loyal Customers
10383,200,1.0,45.64,2,3,2,232,At Risk
10388,75,1.0,80.0,4,3,3,433,Loyal Customers
10389,165,1.0,25.0,2,3,1,231,At Risk
10395,347,1.0,842.71,1,3,5,135,At Risk
10397,265,1.0,53.0,1,3,3,133,At Risk
10398,61,1.0,29.9,4,3,2,432,Potential Loyalist
10400,156,1.0,590.16,2,3,5,235,At Risk
10401,207,1.0,619.88,2,3,5,235,At Risk
10405,235,1.0,90.39,1,3,4,134,At Risk
10406,213,1.0,19.41,2,3,1,231,At Risk
10408,74,1.0,169.6,4,3,4,434,Loyal Customers
10409,69,1.0,339.9,4,3,5,435,Loyal Customers
10410,0,1.0,199.26,5,3,5,535,Loyal Customers
10413,213,1.0,102.18,2,3,4,234,At Risk
10414,183,1.0,95.74,2,3,4,234,At Risk
10415,71,1.0,163.11,4,3,4,434,Loyal Customers
10417,117,1.0,39.62,3,3,2,332,Frequent Low Spenders
10418,9,1.0,40.56,5,3,2,532,Potential Loyalist
10420,33,1.0,59.96,5,3,3,533,Loyal Customers
10421,75,1.0,53.72,4,3,3,433,Loyal Customers
10423,47,1.0,33.86,4,3,2,432,Potential Loyalist
10425,124,1.0,118.72,3,3,4,334,Others
10426,119,1.0,40.0,3,3,2,332,Frequent Low Spenders
10427,151,1.0,108.57,3,3,4,334,Others
10429,200,1.0,28.56,2,3,2,232,At Risk
10430,249,1.0,13.0,1,3,1,131,At Risk
10433,30,1.0,1370.0,5,3,5,535,Loyal Customers
10436,122,1.0,61.8,3,3,3,333,Others
10440,263,1.0,588.68,1,3,5,135,At Risk
10442,120,1.0,19.41,3,3,1,331,Frequent Low Spenders
10443,271,1.0,50.35,1,3,3,133,At Risk
10444,222,1.0,15.93,2,3,1,231,At Risk
10445,142,1.0,261.75,3,3,5,335,Others
10448,275,1.0,874.7,1,3,5,135,At Risk
10452,278,1.0,6574.71,1,3,5,135,At Risk
10453,45,1.0,75.0,4,3,3,433,Loyal Customers
10454,59,1.0,54.9,4,3,3,433,Loyal Customers
10455,166,1.0,16.72,2,3,1,231,At Risk
10457,208,1.0,19.41,2,3,1,231,At Risk
10459,41,1.0,899.9,4,3,5,435,Loyal Customers
10461,34,1.0,15.0,5,3,1,531,Potential Loyalist
10463,133,1.0,9.9,3,3,1,331,Frequent Low Spenders
10465,320,1.0,33.22,1,3,2,132,At Risk
10466,18,1.0,103.62,5,3,4,534,Loyal Customers
10467,88,1.0,39.8,3,3,2,332,Frequent Low Spenders
10468,69,1.0,44.7,4,3,2,432,Potential Loyalist
10469,87,1.0,152.96,3,3,4,334,Others
10473,45,1.0,29.9,4,3,2,432,Potential Loyalist
10474,0,1.0,219.8,5,3,5,535,Loyal Customers
